Angelica 1 3.5
Angelica 2 2.0
Angelica 3 0
Angelica 4 4.5
Angelica 5 5.0
Angelica 6 1.5
Angelica 7 2.5
Angelica 8 2
Bill 1 2
Bill 2 3.5
Bill 3 4
Bill 4 0
Bill 5 2
Bill 6 3.5
Bill 7 0
Bill 8 3
Chan 1 5
Chan 2 1
Chan 3 1
Chan 4 3
Chan 5 5
Chan 6 1
Chan 7 0
Chan 8 0
Dan 1 3
Dan 2 4
Dan 3 4.5
Dan 4 0
Dan 5 3
Dan 6 4.5
Dan 7 4
Dan 8 2
Hailey 1 0
Hailey 2 4
Hailey 3 1
Hailey 4 4
Hailey 5 0
Hailey 6
Hailey 7 4
Hailey 8 1
Jordyn 1 0
Jordyn 2 4.5
Jordyn 3 4
Jordyn 4 5
Jordyn 5 5
Jordyn 6 4.5
Jordyn 7 4
Jordyn 8 4
Sam 1 5
Sam 2 2
Sam 3 0
Sam 4 3
Sam 5 5
Sam 6 4
Sam 7 5
Sam 8 0
Veronica 1 3
Veronica 2 0
Veronica 3 0
Veronica 4 5
Veronica 5 4
Veronica 6 2.5
Veronica 7 3
Veronica 8 0
